GO term	COGs	GO term name	Number of COGs	IC	SuperCOGs	Number of SuperCOGs
GO:0033619	{'O'}	membrane protein proteolysis	1	11.247	{'supercog1'}	1
GO:0033622	{'O'}	integrin activation	1	12.832	{'supercog1'}	1
GO:0033627	{'W'}	cell adhesion mediated by integrin	1	11.0051	{'supercog1'}	1
GO:0033628	{'W'}	regulation of cell adhesion mediated by integrin	1	11.6697	{'supercog1'}	1
GO:0033643	{'R'}	host cell part	1	6.4665	{'general function'}	1
GO:0033644	{'R'}	host cell membrane	1	7.8277	{'general function'}	1
GO:0033646	{'R'}	host intracellular part	1	6.8872	{'general function'}	1
GO:0033647	{'R'}	host intracellular organelle	1	7.6318	{'general function'}	1
GO:0033648	{'R'}	host intracellular membrane-bounded organelle	1	7.6337	{'general function'}	1
GO:0033655	{'R'}	host cell cytoplasm part	1	9.1421	{'general function'}	1
GO:0033673	{'P', 'T'}	negative regulation of kinase activity	2	9.213	{'supercog2', 'supercog1'}	2
GO:0033674	{'P', 'T'}	positive regulation of kinase activity	2	7.9657	{'supercog2', 'supercog1'}	2
GO:0033677	{'A'}	DNA/RNA helicase activity	1	13.832	{'supercog3'}	1
GO:0033683	{'R'}	nucleotide-excision repair, DNA incision	1	11.6544	{'general function'}	1
GO:0033687	{'D'}	osteoblast proliferation	1	12.5238	{'supercog1'}	1
GO:0033688	{'D'}	regulation of osteoblast proliferation	1	12.5804	{'supercog1'}	1
GO:0033690	{'D'}	positive regulation of osteoblast proliferation	1	13.3174	{'supercog1'}	1
GO:0033691	{'G'}	sialic acid binding	1	13.9763	{'supercog2'}	1
GO:0033692	{'R'}	cellular polysaccharide biosynthetic process	1	6.9297	{'general function'}	1
GO:0033705	{'C'}	GDP-4-dehydro-6-deoxy-D-mannose reductase activity	1	16.6393	{'supercog2'}	1
GO:0033713	{'C'}	choline:oxygen 1-oxidoreductase activity	1	16.2243	{'supercog2'}	1
GO:0033721	{'C'}	aldehyde dehydrogenase (NADP+) activity	1	14.3174	{'supercog2'}	1
GO:0033736	{'E'}	L-lysine 6-oxidase activity	1	17.2243	{'supercog2'}	1
GO:0033746	{'C'}	histone H3R2 demethylase activity	1	16.2243	{'supercog2'}	1
GO:0033749	{'C'}	histone H3R3 demethylase activity	1	15.9023	{'supercog2'}	1
GO:0033750	{'R'}	ribosome localization	1	10.9114	{'general function'}	1
GO:0033754	{'C'}	indoleamine 2,3-dioxygenase activity	1	14.7648	{'supercog2'}	1
GO:0033762	{'T'}	response to glucagon	1	11.9023	{'supercog1'}	1
GO:0033764	{'Q'}	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	1	11.0745	{'supercog2'}	1
GO:0033765	{'Q'}	steroid dehydrogenase activity, acting on the CH-CH group of donors	1	15.0543	{'supercog2'}	1
GO:0033776	{'H'}	phenylacetone monooxygenase activity	1	15.6393	{'supercog2'}	1
GO:0033791	{'C'}	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase activity	1	16.2243	{'supercog2'}	1
GO:0033818	{'I'}	beta-ketoacyl-acyl-carrier-protein synthase III activity	1	10.0246	{'supercog2'}	1
GO:0033823	{'O'}	procollagen glucosyltransferase activity	1	15.4169	{'supercog1'}	1
GO:0033825	{'G'}	oligosaccharide 4-alpha-D-glucosyltransferase activity	1	16.6393	{'supercog2'}	1
GO:0033847	{'E'}	O-phosphoserine sulfhydrylase activity	1	15.4169	{'supercog2'}	1
GO:0033850	{'Q'}	Z-farnesyl diphosphate synthase activity	1	15.2243	{'supercog2'}	1
GO:0033854	{'E'}	glutamate-prephenate aminotransferase activity	1	15.2243	{'supercog2'}	1
GO:0033860	{'C'}	regulation of NAD(P)H oxidase activity	1	13.1368	{'supercog2'}	1
GO:0033864	{'C'}	positive regulation of NAD(P)H oxidase activity	1	13.2701	{'supercog2'}	1
GO:0033865	{'H'}	nucleoside bisphosphate metabolic process	1	6.771	{'supercog2'}	1
GO:0033866	{'C', 'H'}	nucleoside bisphosphate biosynthetic process	2	7.0688	{'supercog2'}	1
GO:0033869	{'H'}	nucleoside bisphosphate catabolic process	1	12.1368	{'supercog2'}	1
GO:0033875	{'H'}	ribonucleoside bisphosphate metabolic process	1	6.771	{'supercog2'}	1
GO:0033878	{'C'}	hormone-sensitive lipase activity	1		{'supercog2'}	1
GO:0033883	{'C'}	pyridoxal phosphatase activity	1	14.6393	{'supercog2'}	1
GO:0033906	{'G'}	hyaluronoglucuronidase activity	1	17.2243	{'supercog2'}	1
GO:0033907	{'G'}	beta-D-fucosidase activity	1	14.0543	{'supercog2'}	1
GO:0033916	{'G'}	beta-agarase activity	1	13.6393	{'supercog2'}	1
GO:0033918	{'G'}	kappa-carrageenase activity	1	18.2243	{'supercog2'}	1
GO:0033919	{'G'}	glucan 1,3-alpha-glucosidase activity	1	15.0543	{'supercog2'}	1
GO:0033920	{'G'}	6-phospho-beta-galactosidase activity	1	13.7648	{'supercog2'}	1
GO:0033925	{'G'}	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity	1	13.3663	{'supercog2'}	1
GO:0033939	{'G'}	xylan alpha-1,2-glucuronosidase activity	1	15.0543	{'supercog2'}	1
GO:0033946	{'G'}	xyloglucan-specific endo-beta-1,4-glucanase activity	1	13.7648	{'supercog2'}	1
GO:0033951	{'G'}	oligosaccharide reducing-end xylanase activity	1	15.0543	{'supercog2'}	1
GO:0033961	{'C'}	cis-stilbene-oxide hydrolase activity	1	14.1368	{'supercog2'}	1
GO:0033962	{'J'}	P-body assembly	1	11.7165	{'supercog3'}	1
GO:0033978	{'C'}	phosphonopyruvate hydrolase activity	1	17.2243	{'supercog2'}	1
GO:0033987	{'H'}	2-hydroxyisoflavanone dehydratase activity	1	17.2243	{'supercog2'}	1
GO:0033993	{'T'}	response to lipid	1	6.846	{'supercog1'}	1
GO:0034010	{'C'}	sulfolactate sulfo-lyase activity	1	17.2243	{'supercog2'}	1
GO:0034011	{'E'}	L-cysteate sulfo-lyase activity	1	18.2243	{'supercog2'}	1
GO:0034030	{'C', 'H'}	ribonucleoside bisphosphate biosynthetic process	2	7.0688	{'supercog2'}	1
GO:0034031	{'H'}	ribonucleoside bisphosphate catabolic process	1	12.1368	{'supercog2'}	1
GO:0034032	{'H'}	purine nucleoside bisphosphate metabolic process	1	6.771	{'supercog2'}	1
GO:0034033	{'C', 'H'}	purine nucleoside bisphosphate biosynthetic process	2	7.0688	{'supercog2'}	1
GO:0034034	{'H'}	purine nucleoside bisphosphate catabolic process	1	12.1368	{'supercog2'}	1
GO:0034035	{'H'}	purine ribonucleoside bisphosphate metabolic process	1	11.4561	{'supercog2'}	1
GO:0034036	{'C', 'H'}	purine ribonucleoside bisphosphate biosynthetic process	2	12.7648	{'supercog2'}	1
GO:0034039	{'B'}	8-oxo-7,8-dihydroguanine DNA N-glycosylase activity	1	12.8667	{'supercog3'}	1
GO:0034046	{'F'}	poly(G) binding	1	14.4169	{'supercog2'}	1
GO:0034050	{'D', 'V'}	programmed cell death induced by symbiont	2	12.3663	{'supercog1'}	1
GO:0034053	{'T'}	modulation by symbiont of host defense-related programmed cell death	1	12.5518	{'supercog1'}	1
GO:0034057	{'A'}	RNA strand-exchange activity	1	15.9023	{'supercog3'}	1
GO:0034059	{'T'}	response to anoxia	1	13.5804	{'supercog1'}	1
GO:0034061	{'B', 'L'}	DNA polymerase activity	2	8.2921	{'supercog3'}	1
GO:0034062	{'A'}	5'-3' RNA polymerase activity	1	7.2208	{'supercog3'}	1
GO:0034063	{'V'}	stress granule assembly	1	12.4429	{'supercog1'}	1
GO:0034067	{'O'}	protein localization to Golgi apparatus	1	12.0148	{'supercog1'}	1
GO:0034068	{'P', 'T'}	aminoglycoside nucleotidyltransferase activity	2	15.2243	{'supercog2', 'supercog1'}	2
GO:0034069	{'I'}	aminoglycoside N-acetyltransferase activity	1	12.9023	{'supercog2'}	1
GO:0034071	{'P', 'T'}	aminoglycoside phosphotransferase activity	2	14.2243	{'supercog2', 'supercog1'}	2
GO:0034077	{'H'}	butanediol metabolic process	1	14.7648	{'supercog2'}	1
GO:0034085	{'D'}	establishment of sister chromatid cohesion	1	12.0543	{'supercog1'}	1
GO:0034086	{'D'}	maintenance of sister chromatid cohesion	1	13.3174	{'supercog1'}	1
GO:0034087	{'D'}	establishment of mitotic sister chromatid cohesion	1	13.2243	{'supercog1'}	1
GO:0034088	{'D'}	maintenance of mitotic sister chromatid cohesion	1	13.7648	{'supercog1'}	1
GO:0034097	{'T'}	response to cytokine	1	6.9429	{'supercog1'}	1
GO:0034101	{'W'}	erythrocyte homeostasis	1	9.798	{'supercog1'}	1
GO:0034103	{'T'}	regulation of tissue remodeling	1	10.2995	{'supercog1'}	1
GO:0034109	{'W'}	homotypic cell-cell adhesion	1	10.6468	{'supercog1'}	1
GO:0034110	{'W'}	regulation of homotypic cell-cell adhesion	1	12.3174	{'supercog1'}	1
GO:0034111	{'W'}	negative regulation of homotypic cell-cell adhesion	1	13.5804	{'supercog1'}	1
GO:0034121	{'T'}	regulation of toll-like receptor signaling pathway	1	11.7007	{'supercog1'}	1
GO:0034122	{'W', 'T'}	negative regulation of toll-like receptor signaling pathway	2	12.832	{'supercog1'}	1
GO:0034142	{'W', 'T'}	toll-like receptor 4 signaling pathway	2	12.4429	{'supercog1'}	1
GO:0034143	{'T'}	regulation of toll-like receptor 4 signaling pathway	1	13.3174	{'supercog1'}	1
GO:0034145	{'T'}	positive regulation of toll-like receptor 4 signaling pathway	1	13.7648	{'supercog1'}	1
GO:0034154	{'T'}	toll-like receptor 7 signaling pathway	1	14.0543	{'supercog1'}	1
GO:0034155	{'T'}	regulation of toll-like receptor 7 signaling pathway	1	15.2243	{'supercog1'}	1
GO:0034157	{'T'}	positive regulation of toll-like receptor 7 signaling pathway	1	15.4169	{'supercog1'}	1
GO:0034158	{'T'}	toll-like receptor 8 signaling pathway	1	16.6393	{'supercog1'}	1
GO:0034162	{'T'}	toll-like receptor 9 signaling pathway	1	13.0148	{'supercog1'}	1
GO:0034163	{'T'}	regulation of toll-like receptor 9 signaling pathway	1	13.7648	{'supercog1'}	1
GO:0034165	{'T'}	positive regulation of toll-like receptor 9 signaling pathway	1	14.3174	{'supercog1'}	1
GO:0034185	{'E', 'I'}	apolipoprotein binding	2	13.4169	{'supercog2'}	1
GO:0034189	{'O', 'I'}	very-low-density lipoprotein particle binding	2	15.9023	{'supercog2', 'supercog1'}	2
GO:0034196	{'I'}	acylglycerol transport	1	14.0543	{'supercog2'}	1
GO:0034197	{'I'}	triglyceride transport	1	14.0543	{'supercog2'}	1
GO:0034198	{'T'}	cellular response to amino acid starvation	1	11.2019	{'supercog1'}	1
GO:0034200	{'C'}	D,D-heptose 1,7-bisphosphate phosphatase activity	1	13.6393	{'supercog2'}	1
GO:0034204	{'I'}	lipid translocation	1	12.9389	{'supercog2'}	1
GO:0034205	{'E', 'Q'}	amyloid-beta formation	2	11.3914	{'supercog2'}	1
GO:0034212	{'I'}	peptide N-acetyltransferase activity	1	9.6929	{'supercog2'}	1
GO:0034214	{'O'}	protein hexamerization	1	11.9389	{'supercog1'}	1
GO:0034219	{'G'}	carbohydrate transmembrane transport	1	8.7125	{'supercog2'}	1
GO:0034220	{'P'}	monoatomic ion transmembrane transport	1	5.1342	{'supercog2'}	1
GO:0034227	{'A', 'J'}	tRNA thio-modification	2	9.4201	{'supercog3'}	1
GO:0034235	{'G', 'I'}	GPI anchor binding	2	15.2243	{'supercog2'}	1
GO:0034243	{'K'}	regulation of transcription elongation by RNA polymerase II	1	10.2935	{'supercog3'}	1
GO:0034244	{'K'}	negative regulation of transcription elongation by RNA polymerase II	1	13.2243	{'supercog3'}	1
GO:0034248	{'C', 'T'}	regulation of amide metabolic process	2	6.4553	{'supercog2', 'supercog1'}	2
GO:0034249	{'C'}	negative regulation of amide metabolic process	1	8.6133	{'supercog2'}	1
GO:0034250	{'C'}	positive regulation of amide metabolic process	1	8.3678	{'supercog2'}	1
GO:0034260	{'C', 'T'}	negative regulation of GTPase activity	2	12.4694	{'supercog2', 'supercog1'}	2
GO:0034274	{'O'}	Atg12-Atg5-Atg16 complex	1	12.6697	{'supercog1'}	1
GO:0034284	{'T'}	response to monosaccharide	1	9.213	{'supercog1'}	1
GO:0034285	{'T'}	response to disaccharide	1	10.7731	{'supercog1'}	1
GO:0034286	{'T'}	response to maltose	1	11.5238	{'supercog1'}	1
GO:0034287	{'T'}	detection of monosaccharide stimulus	1	15.2243	{'supercog1'}	1
GO:0034288	{'T'}	detection of disaccharide stimulus	1	11.5518	{'supercog1'}	1
GO:0034289	{'T'}	detection of maltose stimulus	1	11.5518	{'supercog1'}	1
GO:0034293	{'D'}	sexual sporulation	1	11.0345	{'supercog1'}	1
GO:0034308	{'H'}	primary alcohol metabolic process	1	8.7648	{'supercog2'}	1
GO:0034309	{'H'}	primary alcohol biosynthetic process	1	11.3054	{'supercog2'}	1
GO:0034310	{'H'}	primary alcohol catabolic process	1	10.9763	{'supercog2'}	1
GO:0034311	{'H'}	diol metabolic process	1	9.7526	{'supercog2'}	1
GO:0034312	{'H'}	diol biosynthetic process	1	9.9669	{'supercog2'}	1
GO:0034314	{'Z'}	Arp2/3 complex-mediated actin nucleation	1	11.0745	{'supercog1'}	1
GO:0034315	{'Z'}	regulation of Arp2/3 complex-mediated actin nucleation	1	11.9205	{'supercog1'}	1
GO:0034316	{'Z'}	negative regulation of Arp2/3 complex-mediated actin nucleation	1	13.1368	{'supercog1'}	1
GO:0034329	{'W'}	cell junction assembly	1	9.584	{'supercog1'}	1
GO:0034330	{'W'}	cell junction organization	1	9.2413	{'supercog1'}	1
GO:0034332	{'W'}	adherens junction organization	1	10.2413	{'supercog1'}	1
GO:0034333	{'W'}	adherens junction assembly	1	11.0345	{'supercog1'}	1
GO:0034338	{'C'}	short-chain carboxylesterase activity	1	13.0148	{'supercog2'}	1
GO:0034340	{'W', 'T', 'V'}	response to type I interferon	3	9.7405	{'supercog1'}	1
GO:0034341	{'W', 'T', 'V'}	response to type II interferon	3	9.7364	{'supercog1'}	1
GO:0034357	{'C'}	photosynthetic membrane	1	6.7587	{'supercog2'}	1
GO:0034358	{'W'}	plasma lipoprotein particle	1	10.8844	{'supercog1'}	1
GO:0034361	{'W'}	very-low-density lipoprotein particle	1	12.1799	{'supercog1'}	1
GO:0034362	{'W'}	low-density lipoprotein particle	1	12.5238	{'supercog1'}	1
GO:0034364	{'W'}	high-density lipoprotein particle	1	11.1262	{'supercog1'}	1
GO:0034367	{'O'}	protein-containing complex remodeling	1	11.2243	{'supercog1'}	1
GO:0034368	{'O'}	protein-lipid complex remodeling	1	11.7485	{'supercog1'}	1
GO:0034369	{'O', 'I'}	plasma lipoprotein particle remodeling	2	11.7813	{'supercog2', 'supercog1'}	2
GO:0034370	{'O', 'I'}	triglyceride-rich lipoprotein particle remodeling	2	13.0148	{'supercog2', 'supercog1'}	2
GO:0034372	{'O', 'I'}	very-low-density lipoprotein particle remodeling	2	13.1368	{'supercog2', 'supercog1'}	2
GO:0034375	{'O', 'I'}	high-density lipoprotein particle remodeling	2	12.7648	{'supercog2', 'supercog1'}	2
GO:0034377	{'O', 'I'}	plasma lipoprotein particle assembly	2	12.2243	{'supercog2', 'supercog1'}	2
GO:0034380	{'O', 'I'}	high-density lipoprotein particle assembly	2	12.7007	{'supercog2', 'supercog1'}	2
GO:0034381	{'T', 'I'}	plasma lipoprotein particle clearance	2	11.7007	{'supercog2', 'supercog1'}	2
GO:0034383	{'T', 'I'}	low-density lipoprotein particle clearance	2	12.9023	{'supercog2', 'supercog1'}	2
GO:0034384	{'T', 'I'}	high-density lipoprotein particle clearance	2	13.4169	{'supercog2', 'supercog1'}	2
GO:0034385	{'W'}	triglyceride-rich plasma lipoprotein particle	1	12.1582	{'supercog1'}	1
GO:0034389	{'I'}	lipid droplet organization	1	12.832	{'supercog2'}	1
GO:0034394	{'O'}	protein localization to cell surface	1	11.7813	{'supercog1'}	1
GO:0034399	{'Y'}	nuclear periphery	1	9.858	{'supercog3'}	1
GO:0034401	{'R'}	chromatin organization involved in regulation of transcription	1	8.9931	{'general function'}	1
GO:0034404	{'H'}	nucleobase-containing small molecule biosynthetic process	1	6.1057	{'supercog2'}	1
GO:0034405	{'T'}	response to fluid shear stress	1	10.9297	{'supercog1'}	1
GO:0034414	{'R'}	tRNA 3'-trailer cleavage, endonucleolytic	1	10.5589	{'general function'}	1
GO:0034418	{'H'}	urate biosynthetic process	1	13.9763	{'supercog2'}	1
GO:0034425	{'M'}	etioplast envelope	1		{'supercog1'}	1
GO:0034426	{'M'}	etioplast membrane	1		{'supercog1'}	1
GO:0034427	{'A', 'K'}	nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'	2	11.798	{'supercog3'}	1
GO:0034440	{'I'}	lipid oxidation	1	8.9114	{'supercog2'}	1
GO:0034446	{'W'}	substrate adhesion-dependent cell spreading	1	10.7165	{'supercog1'}	1
GO:0034452	{'Z'}	dynactin binding	1	14.4169	{'supercog1'}	1
GO:0034458	{'A'}	3'-5' RNA helicase activity	1	13.9023	{'supercog3'}	1
GO:0034470	{'A'}	ncRNA processing	1	4.2797	{'supercog3'}	1
GO:0034471	{'A'}	ncRNA 5'-end processing	1	8.4981	{'supercog3'}	1
GO:0034472	{'A'}	snRNA 3'-end processing	1	11.3539	{'supercog3'}	1
GO:0034475	{'A'}	U4 snRNA 3'-end processing	1	12.0148	{'supercog3'}	1
GO:0034485	{'C'}	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity	1	15.2243	{'supercog2'}	1
GO:0034502	{'O'}	protein localization to chromosome	1	10.1105	{'supercog1'}	1
GO:0034504	{'O'}	protein localization to nucleus	1	8.6374	{'supercog1'}	1
GO:0034506	{'B'}	chromosome, centromeric core domain	1	13.5804	{'supercog3'}	1
GO:0034508	{'D'}	centromere complex assembly	1	10.7485	{'supercog1'}	1
GO:0034511	{'A'}	U3 snoRNA binding	1	12.5804	{'supercog3'}	1
GO:0034515	{'R'}	proteasome storage granule	1	12.2243	{'general function'}	1
GO:0034518	{'O'}	RNA cap binding complex	1	11.6393	{'supercog1'}	1
GO:0034545	{'C'}	fumarylpyruvate hydrolase activity	1	15.6393	{'supercog2'}	1
GO:0034552	{'C'}	respiratory chain complex II assembly	1	14.0543	{'supercog2'}	1
GO:0034584	{'A'}	piRNA binding	1	14.0543	{'supercog3'}	1
GO:0034587	{'A'}	piRNA processing	1	11.7485	{'supercog3'}	1
GO:0034593	{'C'}	phosphatidylinositol bisphosphate phosphatase activity	1	12.3663	{'supercog2'}	1
GO:0034594	{'C'}	phosphatidylinositol trisphosphate phosphatase activity	1	13.9763	{'supercog2'}	1
GO:0034595	{'C'}	phosphatidylinositol phosphate 5-phosphatase activity	1	13.0148	{'supercog2'}	1
GO:0034596	{'C'}	phosphatidylinositol phosphate 4-phosphatase activity	1	13.832	{'supercog2'}	1
GO:0034599	{'T'}	cellular response to oxidative stress	1	7.5075	{'supercog1'}	1
GO:0034605	{'T'}	cellular response to heat	1	8.7938	{'supercog1'}	1
GO:0034612	{'T'}	response to tumor necrosis factor	1	9.0222	{'supercog1'}	1
GO:0034613	{'R'}	cellular protein localization	1	5.4427	{'general function'}	1
GO:0034614	{'T'}	cellular response to reactive oxygen species	1	8.1881	{'supercog1'}	1
GO:0034618	{'E'}	arginine binding	1	10.5804	{'supercog2'}	1
GO:0034620	{'T'}	cellular response to unfolded protein	1	9.8978	{'supercog1'}	1
GO:0034622	{'R'}	cellular protein-containing complex assembly	1	5.7756	{'general function'}	1
GO:0034626	{'I'}	fatty acid elongation, polyunsaturated fatty acid	1		{'supercog2'}	1
GO:0034629	{'R'}	cellular protein-containing complex localization	1	10.6929	{'general function'}	1
GO:0034637	{'R'}	cellular carbohydrate biosynthetic process	1	6.7379	{'general function'}	1
GO:0034638	{'C'}	phosphatidylcholine catabolic process	1	13.0148	{'supercog2'}	1
GO:0034641	{'C'}	cellular nitrogen compound metabolic process	1	1.1307	{'supercog2'}	1
GO:0034643	{'Z'}	establishment of mitochondrion localization, microtubule-mediated	1	12.8667	{'supercog1'}	1
GO:0034644	{'T'}	cellular response to UV	1	10.6697	{'supercog1'}	1
GO:0034645	{'R'}	cellular macromolecule biosynthetic process	1	2.1192	{'general function'}	1
GO:0034650	{'H'}	cortisol metabolic process	1	14.3174	{'supercog2'}	1
GO:0034654	{'C', 'H'}	nucleobase-containing compound biosynthetic process	2	2.819	{'supercog2'}	1
GO:0034655	{'C'}	nucleobase-containing compound catabolic process	1	5.6654	{'supercog2'}	1
GO:0034656	{'H'}	nucleobase-containing small molecule catabolic process	1	9.5413	{'supercog2'}	1
GO:0034660	{'A'}	ncRNA metabolic process	1	3.6727	{'supercog3'}	1
GO:0034661	{'A'}	ncRNA catabolic process	1	8.6929	{'supercog3'}	1
GO:0034694	{'T'}	response to prostaglandin	1	13.0543	{'supercog1'}	1
GO:0034702	{'O', 'M'}	ion channel complex	2	9.2356	{'supercog1'}	1
GO:0034703	{'O', 'M'}	cation channel complex	2	9.6356	{'supercog1'}	1
GO:0034704	{'O', 'M'}	calcium channel complex	2	11.4694	{'supercog1'}	1
GO:0034705	{'O', 'M'}	potassium channel complex	2	10.6697	{'supercog1'}	1
GO:0034706	{'O', 'M'}	sodium channel complex	2	13.0148	{'supercog1'}	1
GO:0034708	{'O'}	methyltransferase complex	1	9.5518	{'supercog1'}	1
GO:0034709	{'O'}	methylosome	1	13.0148	{'supercog1'}	1
GO:0034713	{'T'}	type I transforming growth factor beta receptor binding	1	13.832	{'supercog1'}	1
GO:0034728	{'B'}	nucleosome organization	1	8.9669	{'supercog3'}	1
GO:0034729	{'R'}	histone H3-K79 methylation	1	13.0148	{'general function'}	1
GO:0034736	{'I'}	cholesterol O-acyltransferase activity	1	18.2243	{'supercog2'}	1
GO:0034739	{'B', 'O'}	histone H4K16 deacetylase activity	2	14.3174	{'supercog3', 'supercog1'}	2
GO:0034751	{'O'}	aryl hydrocarbon receptor complex	1	14.7648	{'supercog1'}	1
GO:0034754	{'R'}	cellular hormone metabolic process	1	8.9069	{'general function'}	1
GO:0034755	{'P'}	iron ion transmembrane transport	1	10.0148	{'supercog2'}	1
GO:0034762	{'T'}	regulation of transmembrane transport	1	8.0911	{'supercog1'}	1
GO:0034763	{'T'}	negative regulation of transmembrane transport	1	10.2585	{'supercog1'}	1
GO:0034764	{'T'}	positive regulation of transmembrane transport	1	9.0669	{'supercog1'}	1
GO:0034765	{'T'}	regulation of monoatomic ion transmembrane transport	1	8.5483	{'supercog1'}	1
GO:0034766	{'P', 'T'}	negative regulation of monoatomic ion transmembrane transport	2	10.5877	{'supercog2', 'supercog1'}	2
GO:0034767	{'P', 'T'}	positive regulation of monoatomic ion transmembrane transport	2	9.8106	{'supercog2', 'supercog1'}	2
GO:0034769	{'W'}	basement membrane disassembly	1	14.3174	{'supercog1'}	1
GO:0034774	{'U', 'M'}	secretory granule lumen	2	8.7185	{'supercog1'}	1
GO:0034785	{'H'}	salicylate 5-hydroxylase activity	1	18.2243	{'supercog2'}	1
GO:0034968	{'R'}	histone lysine methylation	1	9.4495	{'general function'}	1
GO:0034975	{'O', 'K'}	protein folding in endoplasmic reticulum	2	12.7007	{'supercog3', 'supercog1'}	2
GO:0034976	{'T'}	response to endoplasmic reticulum stress	1	8.7506	{'supercog1'}	1
GO:0034979	{'O'}	NAD-dependent protein deacetylase activity	1	10.3977	{'supercog1'}	1
GO:0034982	{'O'}	mitochondrial protein processing	1	11.8149	{'supercog1'}	1
GO:0034983	{'O'}	peptidyl-lysine deacetylation	1	14.6393	{'supercog1'}	1
GO:0034987	{'T'}	immunoglobulin receptor binding	1	10.2527	{'supercog1'}	1
GO:0034998	{'O', 'M'}	oligosaccharyltransferase I complex	2	17.2243	{'supercog1'}	1
GO:0035006	{'H', 'Q'}	melanization defense response	2	13.6393	{'supercog2'}	1
GO:0035020	{'T'}	regulation of Rac protein signal transduction	1	13.9023	{'supercog1'}	1
GO:0035023	{'T'}	regulation of Rho protein signal transduction	1	10.5949	{'supercog1'}	1
GO:0035024	{'T'}	negative regulation of Rho protein signal transduction	1	12.7648	{'supercog1'}	1
GO:0035036	{'D'}	sperm-egg recognition	1	11.6096	{'supercog1'}	1
GO:0035051	{'D'}	cardiocyte differentiation	1	10.5589	{'supercog1'}	1
GO:0035064	{'R'}	methylated histone binding	1	10.9482	{'general function'}	1
GO:0035065	{'R'}	regulation of histone acetylation	1	11.3054	{'general function'}	1
GO:0035082	{'N'}	axoneme assembly	1	10.9389	{'supercog1'}	1
GO:0035088	{'R'}	establishment or maintenance of apical/basal cell polarity	1	11.8667	{'general function'}	1
GO:0035089	{'R'}	establishment of apical/basal cell polarity	1	12.9389	{'general function'}	1
GO:0035091	{'I'}	phosphatidylinositol binding	1	8.7145	{'supercog2'}	1
GO:0035094	{'T'}	response to nicotine	1	10.798	{'supercog1'}	1
GO:0035095	{'T'}	behavioral response to nicotine	1	14.4169	{'supercog1'}	1
GO:0035097	{'Y'}	histone methyltransferase complex	1	10.2075	{'supercog3'}	1
GO:0035098	{'Y'}	ESC/E(Z) complex	1	12.6393	{'supercog3'}	1
GO:0035107	{'D'}	appendage morphogenesis	1	10.4105	{'supercog1'}	1
GO:0035108	{'D'}	limb morphogenesis	1	11.2818	{'supercog1'}	1
GO:0035113	{'D'}	embryonic appendage morphogenesis	1	11.5518	{'supercog1'}	1
GO:0035114	{'D'}	imaginal disc-derived appendage morphogenesis	1	11.6697	{'supercog1'}	1
GO:0035120	{'D'}	post-embryonic appendage morphogenesis	1	11.7813	{'supercog1'}	1
GO:0035148	{'D'}	tube formation	1	10.6169	{'supercog1'}	1
GO:0035150	{'T'}	regulation of tube size	1	9.9343	{'supercog1'}	1
GO:0035173	{'B', 'O'}	histone kinase activity	2	12.3416	{'supercog3', 'supercog1'}	2
GO:0035176	{'T'}	social behavior	1	12.8667	{'supercog1'}	1
GO:0035194	{'K'}	RNA-mediated post-transcriptional gene silencing	1	9.8106	{'supercog3'}	1
GO:0035195	{'K'}	miRNA-mediated gene silencing	1	10.1744	{'supercog3'}	1
GO:0035196	{'A'}	miRNA processing	1	11.213	{'supercog3'}	1
GO:0035197	{'A'}	siRNA binding	1	13.1799	{'supercog3'}	1
GO:0035198	{'A'}	miRNA binding	1	12.4429	{'supercog3'}	1
GO:0035220	{'D'}	wing disc development	1	11.2935	{'supercog1'}	1
GO:0035226	{'E'}	glutamate-cysteine ligase catalytic subunit binding	1	18.2243	{'supercog2'}	1
GO:0035239	{'D'}	tube morphogenesis	1	7.5152	{'supercog1'}	1
GO:0035241	{'O', 'H'}	protein-arginine omega-N monomethyltransferase activity	2	12.5804	{'supercog2', 'supercog1'}	2
GO:0035242	{'O', 'H'}	protein-arginine omega-N asymmetric methyltransferase activity	2	12.9023	{'supercog2', 'supercog1'}	2
GO:0035243	{'O', 'H'}	protein-arginine omega-N symmetric methyltransferase activity	2	12.8667	{'supercog2', 'supercog1'}	2
GO:0035246	{'O'}	peptidyl-arginine N-methylation	1	11.7485	{'supercog1'}	1
GO:0035247	{'O'}	peptidyl-arginine omega-N-methylation	1	11.8492	{'supercog1'}	1
GO:0035249	{'W', 'T'}	synaptic transmission, glutamatergic	2	10.9859	{'supercog1'}	1
GO:0035250	{'G'}	UDP-galactosyltransferase activity	1	11.7648	{'supercog2'}	1
GO:0035251	{'G'}	UDP-glucosyltransferase activity	1	9.0976	{'supercog2'}	1
GO:0035252	{'G'}	UDP-xylosyltransferase activity	1	13.1799	{'supercog2'}	1
GO:0035254	{'T'}	glutamate receptor binding	1	12.6393	{'supercog1'}	1
GO:0035257	{'R'}	nuclear hormone receptor binding	1	10.5169	{'general function'}	1
